date,portfolio_value
2025-03-13,8812.566089506456
2025-03-14,9187.258841411907
2025-03-17,9368.329905786302
2025-03-18,9154.648590988027
2025-03-19,9394.255113554585
2025-03-20,9404.389766133283
2025-03-21,9353.35489994906
2025-03-24,9516.070109983018
2025-03-25,9439.641660679972
2025-03-26,9127.399561627428
2025-03-27,8942.58480941736
2025-03-28,8883.103574740577
2025-03-31,8848.920805876418
2025-04-01,9026.463151564534
2025-04-02,9176.63586346589
2025-04-03,8827.025729231593
2025-04-04,8255.066424483372
2025-04-07,8393.686391627141
2025-04-08,8127.135864187866
2025-04-09,8893.120185192965
2025-04-10,8514.87745116083
2025-04-11,8692.763983159382
2025-04-14,8862.347365244797
2025-04-15,8855.983226602415
2025-04-16,8703.883917833451
2025-04-17,8806.715116440095
2025-04-21,8408.922382622008
2025-04-22,8771.144976764017
2025-04-23,8833.820185786508
2025-04-24,9045.323195088655
2025-04-25,9162.94019791005
2025-04-28,9247.016455353643
2025-04-29,9284.620031122276
2025-04-30,9076.349210836524
2025-05-01,9338.64646635133
2025-05-02,9460.160069732996
2025-05-05,9376.92147789368
2025-05-06,9564.310788116385
2025-05-07,9559.188845231614
2025-05-08,9762.749152214494
2025-05-09,9985.518879163239
2025-05-12,10215.351688852325
2025-05-13,10744.742227216928
2025-05-14,10956.879273183995
2025-05-15,11051.060010555284
2025-05-16,11079.847320801136
2025-05-19,10997.321981841475
2025-05-20,10981.894339425522
2025-05-21,10756.439844581817
2025-05-22,10350.912588563162
2025-05-23,10773.286762145508
2025-05-27,11117.516411938588
2025-05-28,10968.203401512279
2025-05-29,10907.945242717275
2025-05-30,11026.71703271183
2025-06-02,11034.407875219504
2025-06-03,11270.147146538442
2025-06-04,11118.257434572637
2025-06-05,11071.915895591248
2025-06-06,11315.489948282775
2025-06-09,11325.534808130998
2025-06-10,11331.433191860038
2025-06-11,11768.803504021675
2025-06-12,11816.343766445889
2025-06-13,11998.965894987132
2025-06-16,12150.389462324008
2025-06-17,11348.029969234885
2025-06-18,11453.381029137834
2025-06-20,11420.923852998078
2025-06-23,11373.823429726324
2025-06-24,11895.597325259956
2025-06-25,11655.325880520411
2025-06-26,11886.79963337223
2025-06-27,11833.851730271554
2025-06-30,11992.871859664068
2025-07-01,11839.474406983187
2025-07-02,11826.481102742977
2025-07-03,12188.650729243245
2025-07-07,12284.42659727806
2025-07-08,11921.643315132644
2025-07-09,12093.482283322173
2025-07-10,12171.863718819865
2025-07-11,12157.956659322921
